id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,primary_title,start_year,genres
25,2019,Godzilla: King of the Monsters,170000000,"$85,576,941",299276941,129276941,Godzilla: King of the Monsters,2019,Action/Adventure
83,2010,The Last Airbender,150000000,"$131,772,187",319713881,169713881,The Last Airbender,2010,Family/Animation
90,2016,The Conjuring 2,40000000,"$102,470,008",311262102,271262102,The Conjuring 2,2016,Horror
7,2017,The Emoji Movie,50000000,"$86,089,513",216562312,166562312,The Emoji Movie,2017,Family/Animation
14,2015,Pitch Perfect 2,29000000,"$184,296,230",287625468,258625468,Pitch Perfect 2,2015,Comedy
77,2013,Epic,100000000,"$107,518,682",262794441,162794441,Epic,2013,Family/Animation
2,2012,Rise of the Guardians,145000000,"$103,412,758",306900902,161900902,Rise of the Guardians,2012,Family/Animation
90,2013,We're the Millers,37000000,"$150,394,119",267816276,230816276,We're the Millers,2013,Comedy
56,2015,Alvin and the Chipmunks: The Road Chip,90000000,"$85,886,987",249517956,159517956,Alvin and the Chipmunks: The Road Chip,2015,Family/Animation
93,2011,Super 8,50000000,"$127,004,179",257972745,207972745,Super 8,2011,Action/Thriller
16,2014,Exodus: Gods and Kings,140000000,"$65,014,513",268314513,128314513,Exodus: Gods and Kings,2014,Action/Adventure
53,2013,After Earth,130000000,"$60,522,097",251499665,121499665,After Earth,2013,Action/Adventure
50,2016,Sully,60000000,"$125,070,033",238524556,178524556,Sully,2016,Biography/Historical
49,2017,Get Out,5000000,"$176,040,665",255367951,250367951,Get Out,2017,Horror
64,2016,Hidden Figures,25000000,"$169,607,287",231771716,206771716,Hidden Figures,2016,Biography/Historical
70,2010,Little Fockers,100000000,"$148,438,600",310650574,210650574,Little Fockers,2010,Comedy
99,2018,Ocean's Eight,70000000,"$140,218,711",297115976,227115976,Ocean's Eight,2018,Crime/Mystery
6,2011,Gnomeo and Juliet,36000000,"$99,967,670",193737977,157737977,,,Family/Animation
84,2014,Annabelle,6500000,"$84,273,813",256862920,250362920,Annabelle,2014,Horror
4,2016,Ghostbusters,144000000,"$128,350,574",229008658,85008658,Ghostbusters,2016,Comedy
19,2011,Johnny English Reborn,45000000,"$8,406,711",164640401,119640401,Johnny English Reborn,2011,Action/Adventure
80,2013,American Hustle,40000000,"$150,117,807",257878294,217878294,American Hustle,2013,Dramedy
12,2018,Solo: A Star Wars Story,275000000,"$213,767,512",393151347,118151347,Solo: A Star Wars Story,2018,Action/Adventure
64,2016,Inferno,75000000,"$34,343,574",219519367,144519367,Inferno,2016,Crime/Mystery
31,2013,Turbo,135000000,"$83,028,130",286896578,151896578,Turbo,2013,Family/Animation
80,2016,Assassin's Creed,125000000,"$54,647,948",240759682,115759682,Assassin's Creed,2016,Action/Adventure
7,2015,The Peanuts Movie,99000000,"$130,178,411",250091610,151091610,The Peanuts Movie,2015,Family/Animation
91,2016,Central Intelligence,50000000,"$127,440,871",217194805,167194805,Central Intelligence,2016,Crime/Mystery
73,2015,The Good Dinosaur,187500000,"$123,087,120",333771037,146271037,The Good Dinosaur,2015,Family/Animation
36,2018,Halloween,10000000,"$159,342,015",254900667,244900667,Halloween,2018,Horror
39,2010,Robin Hood,210000000,"$105,487,148",322459006,112459006,Robin Hood,2010,Action/Adventure
32,2016,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,"$82,051,601",245328374,110328374,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Action/Adventure
40,2014,Into the Storm,50000000,"$47,602,194",150429371,100429371,Into the Storm,2014,Action/Adventure
20,2016,Me Before You,20000000,"$56,245,075",208265198,188265198,Me Before You,2016,Drama
70,2010,Resident Evil: Afterlife,57500000,"$60,128,566",295874190,238374190,Resident Evil: Afterlife,2010,Horror
5,2017,Smurfs: The Lost Village,60000000,"$45,020,282",197578586,137578586,Smurfs: The Lost Village,2017,Family/Animation
40,2018,The Death Cure,61000000,"$58,032,443",265878536,204878536,The Death Cure,2018,Action/Thriller
48,2013,Grown Ups 2,80000000,"$133,668,525",247023808,167023808,Grown Ups 2,2013,Comedy
9,2011,Mr. Popper's Penguins,55000000,"$68,224,452",189624452,134624452,Mr. Popper's Penguins,2011,Family/Animation
88,2019,Us,20000000,"$175,006,930",254210310,234210310,Us,2019,Horror
3,2016,Bridget Jones's Baby,35000000,"$24,139,805",205822688,170822688,Bridget Jones's Baby,2016,Dramedy
34,2016,Arrival,47000000,"$100,546,139",203127894,156127894,Arrival,2016,Crime/Mystery
69,2018,Smallfoot,80000000,"$83,240,103",213691277,133691277,Smallfoot,2018,Family/Animation
34,2010,The Expendables,82000000,"$103,068,524",268268174,186268174,The Expendables,2010,Action/Thriller
82,2010,The Secret World of Arrietty,23000000,"$19,192,510",151496097,128496097,The Secret World of Arrietty,2010,Family/Animation
38,2018,Crazy Rich Asians,30000000,"$174,532,921",238099711,208099711,Crazy Rich Asians,2018,Comedy
78,2018,Skyscraper,125000000,"$68,420,120",304115534,179115534,Skyscraper,2018,Action/Thriller
6,2014,The Imitation Game,15000000,"$91,125,143",227740463,212740463,The Imitation Game,2014,Biography/Historical
85,2010,The Tourist,100000000,"$67,631,157",278731369,178731369,The Tourist,2010,Action/Thriller
59,2015,Pixels,90000000,"$78,765,986",244041804,154041804,Pixels,2015,Comedy
88,2015,Daddy's Home,50000000,"$150,357,137",242757137,192757137,Daddy's Home,2015,Comedy
83,2015,Spy,65000000,"$110,825,712",232585748,167585748,Spy,2015,Crime/Mystery
17,2010,Percy Jackson & the Olympians: The Lightning Thief,95000000,"$88,768,303",223050874,128050874,Percy Jackson & the Olympians: The Lightning Thief,2010,Family/Animation
2,2014,Non-Stop,50000000,"$91,742,160",222383055,172383055,Non-Stop,2014,Action/Thriller
16,2010,Sex and the City 2,95000000,"$95,347,692",294680778,199680778,Sex and the City 2,2010,Dramedy
27,2011,Hop,63000000,"$108,085,305",188657593,125657593,Hop,2011,Family/Animation
55,2017,Baahubali 2: The Conclusion,30000000,"$18,985,794",263502914,233502914,Baahubali 2: The Conclusion,2017,Drama
80,2017,Blade Runner 2049,185000000,"$92,054,159",259357408,74357408,Blade Runner 2049,2017,Crime/Mystery
